Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	

45.843689|	35.880244|	0.000000|	3.482951|	0.000000|	16.828032|	7.153987|	0.000000|	1.620695|	0.000000|	
45.798057|	35.832674|	0.000000|	3.489693|	0.000000|	16.816354|	7.148067|	0.000000|	1.575782|	0.000000|	
45.847945|	35.865181|	0.000000|	3.477576|	0.000000|	16.829283|	7.153914|	0.000000|	1.596246|	0.000000|	
45.857330|	35.869708|	0.000000|	3.509926|	0.000000|	16.805215|	7.126500|	0.000000|	1.609640|	0.000000|	
47.876347|	37.886164|	0.000000|	3.455565|	0.000000|	16.816741|	7.139511|	0.000000|	1.614702|	0.000000|	
45.595906|	35.660583|	0.000000|	3.355056|	0.000000|	16.795678|	7.121186|	0.000000|	1.640879|	0.000000|	
45.889487|	35.896889|	0.000000|	3.465810|	0.000000|	16.828530|	7.149038|	0.000000|	1.597708|	0.000000|	
45.892162|	35.895042|	0.000000|	3.454528|	0.000000|	16.785219|	7.111086|	0.000000|	1.632410|	0.000000|	
45.877351|	35.880515|	0.000000|	3.391934|	0.000000|	16.728248|	7.136932|	0.000000|	1.618401|	0.000000|	
45.804917|	35.808108|	0.000000|	3.460343|	0.000000|	16.794239|	7.079710|	0.000000|	1.623094|	0.000000|	
45.670190|	35.674165|	0.000000|	3.454518|	0.000000|	16.790428|	7.108720|	0.000000|	1.591187|	0.000000|	
46.703587|	36.704521|	0.000000|	3.474215|	0.000000|	17.023768|	7.339333|	0.000000|	1.651047|	0.000000|	
46.216295|	36.261159|	0.000000|	3.437593|	0.000000|	17.481289|	7.800137|	0.000000|	1.607724|	0.000000|	
45.719252|	35.707350|	0.000000|	3.531704|	0.000000|	17.480459|	7.795983|	0.000000|	1.588857|	0.000000|	
45.663734|	35.653542|	0.000000|	3.414587|	0.000000|	16.952952|	7.269125|	0.000000|	1.609085|	0.000000|	
45.584259|	35.584547|	0.000000|	3.299951|	0.000000|	16.804272|	7.119969|	0.000000|	1.622612|	0.000000|	
45.791072|	35.779029|	0.000000|	3.512078|	0.000000|	16.790013|	7.108502|	0.000000|	1.629596|	0.000000|	
45.859885|	35.840329|	0.000000|	3.424998|	0.000000|	16.792650|	7.114562|	0.000000|	1.601343|	0.000000|	
45.801229|	35.781766|	0.000000|	3.511840|	0.000000|	16.788272|	7.111985|	0.000000|	1.623690|	0.000000|	
47.771525|	37.748162|	0.000000|	3.518819|	0.000000|	16.728497|	7.093133|	0.000000|	1.604610|	0.000000|	
45.557174|	35.587289|	0.000000|	3.445826|	0.000000|	16.781916|	7.097269|	0.000000|	1.597846|	0.000000|	
45.766905|	35.748916|	0.000000|	3.434032|	0.000000|	16.798436|	7.119214|	0.000000|	1.598292|	0.000000|	
45.726971|	35.706936|	0.000000|	3.457117|	0.000000|	16.787194|	7.100354|	0.000000|	1.611176|	0.000000|	
45.881014|	35.866415|	0.000000|	3.458981|	0.000000|	16.806502|	7.115430|	0.000000|	1.602857|	0.000000|	
45.920706|	35.904652|	0.000000|	3.404431|	0.000000|	16.803443|	7.112814|	0.000000|	1.579850|	0.000000|	
45.724897|	35.704003|	0.000000|	3.439867|	0.000000|	16.796414|	7.108874|	0.000000|	1.582868|	0.000000|	
46.611180|	36.595695|	0.000000|	3.328780|	0.000000|	16.837476|	7.147047|	0.000000|	1.676227|	0.000000|	
47.614545|	37.641672|	0.000000|	3.442719|	0.000000|	16.802052|	7.107040|	0.000000|	1.619504|	0.000000|	
45.713248|	35.698925|	0.000000|	3.507912|	0.000000|	16.806347|	7.112428|	0.000000|	1.628583|	0.000000|	
