Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	
35.540267|	25.703366|	0.000000|	1.987128|	0.000000|	16.875721|	7.186001|	0.000000|	1.674402|	0.000000|	
35.379398|	25.583763|	0.000000|	1.965511|	0.000000|	16.855091|	7.159311|	0.000000|	1.665482|	0.000000|	
34.112571|	24.262601|	0.000000|	1.959725|	0.000000|	16.785098|	7.133163|	0.000000|	1.659712|	0.000000|	
28.407056|	18.573784|	0.000000|	1.860912|	0.000000|	16.779073|	7.077061|	0.000000|	1.440081|	0.000000|	
3.177472|	0.903115|	0.000000|	0.794196|	0.000000|	3.053397|	0.803416|	0.000000|	0.564705|	0.000000|	
3.319185|	0.920795|	0.000000|	0.782493|	0.000000|	3.234163|	0.869721|	0.000000|	0.573013|	0.000000|	
2.919023|	0.754487|	0.000000|	0.766351|	0.000000|	2.883337|	0.748244|	0.000000|	0.549732|	0.000000|	
2.719271|	0.750746|	0.000000|	0.772513|	0.000000|	2.646605|	0.705018|	0.000000|	0.538468|	0.000000|	
3.698834|	1.184153|	0.000000|	0.844364|	0.000000|	3.549182|	1.069191|	0.000000|	0.608432|	0.000000|	
2.993972|	0.820094|	0.000000|	0.779616|	0.000000|	2.926704|	0.784024|	0.000000|	0.567096|	0.000000|	
