Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	
Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	
44.666294|	34.733826|	0.000000|	3.184897|	0.000000|	16.874150|	7.177679|	0.000000|	1.611116|	0.000000|	
45.764722|	35.822609|	0.000000|	3.154232|	0.000000|	16.877137|	7.188133|	0.000000|	1.660620|	0.000000|	
44.415316|	34.517976|	0.000000|	3.108693|	0.000000|	16.855138|	7.162119|	0.000000|	1.614719|	0.000000|	
44.698750|	34.742435|	0.000000|	3.174493|	0.000000|	16.859860|	7.168605|	0.000000|	1.599881|	0.000000|	
44.795821|	34.838910|	0.000000|	3.039452|	0.000000|	16.854044|	7.161149|	0.000000|	1.597416|	0.000000|	
44.761520|	34.796688|	0.000000|	2.980288|	0.000000|	16.770181|	7.126759|	0.000000|	1.580770|	0.000000|	
44.803484|	34.833358|	0.000000|	3.033402|	0.000000|	16.862086|	7.168227|	0.000000|	1.644674|	0.000000|	
44.803821|	34.836225|	0.000000|	2.999116|	0.000000|	16.860024|	7.164736|	0.000000|	1.616563|	0.000000|	
44.568581|	34.644842|	0.000000|	2.963159|	0.000000|	16.859497|	7.160137|	0.000000|	1.610485|	0.000000|	
45.288173|	35.310117|	0.000000|	3.118744|	0.000000|	16.879314|	7.183159|	0.000000|	1.680375|	0.000000|	
44.864721|	34.889207|	0.000000|	3.037943|	0.000000|	16.863372|	7.166029|	0.000000|	1.623952|	0.000000|	
39.880124|	30.740773|	0.000000|	2.726894|	0.000000|	15.281596|	6.427453|	0.000000|	1.504106|	0.000000|	
2.908554|	0.798758|	0.000000|	0.608617|	0.000000|	2.818091|	0.756222|	0.000000|	0.557942|	0.000000|	
2.768385|	0.760880|	0.000000|	0.636934|	0.000000|	2.682328|	0.712942|	0.000000|	0.554533|	0.000000|	
2.942229|	0.834234|	0.000000|	0.602185|	0.000000|	2.837387|	0.768500|	0.000000|	0.562165|	0.000000|	
2.836069|	0.749187|	0.000000|	0.611476|	0.000000|	2.775659|	0.728573|	0.000000|	0.558600|	0.000000|	
9.255545|	4.351544|	0.000000|	1.101280|	0.000000|	7.769578|	2.949722|	0.000000|	0.908550|	0.000000|	
19.004561|	9.170092|	0.000000|	1.835448|	0.000000|	16.744391|	7.053047|	0.000000|	1.449938|	0.000000|	
18.507405|	8.672153|	0.000000|	1.764021|	0.000000|	16.773215|	7.077481|	0.000000|	1.451877|	0.000000|	
17.625615|	7.793817|	0.000000|	1.759486|	0.000000|	16.761822|	7.069683|	0.000000|	1.452069|	0.000000|	
17.339408|	7.551309|	0.000000|	1.787895|	0.000000|	16.766319|	7.076470|	0.000000|	1.438233|	0.000000|	
12.872040|	5.530088|	0.000000|	1.453374|	0.000000|	12.331609|	5.082873|	0.000000|	1.176375|	0.000000|	
2.994266|	0.788541|	0.000000|	0.662213|	0.000000|	2.878142|	0.753080|	0.000000|	0.565336|	0.000000|	
2.706116|	0.710351|	0.000000|	0.742760|	0.000000|	2.655212|	0.698323|	0.000000|	0.573471|	0.000000|	
14.579297|	6.414452|	0.000000|	1.587008|	0.000000|	13.699766|	5.618709|	0.000000|	1.263517|	0.000000|	
