Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	
Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	
35.340658|	25.547027|	0.000000|	1.965533|	0.000000|	16.804841|	7.147879|	0.000000|	1.705377|	0.000000|	
35.412090|	25.562634|	0.000000|	1.982583|	0.000000|	16.902241|	7.196975|	0.000000|	1.656355|	0.000000|	
27.096572|	19.038771|	0.000000|	1.689612|	0.000000|	13.616745|	5.675679|	0.000000|	1.407326|	0.000000|	
21.889297|	13.489665|	0.000000|	1.622337|	0.000000|	14.163824|	5.870907|	0.000000|	1.318861|	0.000000|	
9.976732|	5.671331|	0.000000|	1.077930|	0.000000|	6.852925|	2.603729|	0.000000|	0.831300|	0.000000|	
3.384792|	0.975059|	0.000000|	0.721558|	0.000000|	3.271811|	0.895332|	0.000000|	0.591684|	0.000000|	
4.284489|	1.243099|	0.000000|	0.728618|	0.000000|	4.209301|	1.208318|	0.000000|	0.634713|	0.000000|	
3.034566|	0.815727|	0.000000|	0.667812|	0.000000|	2.992648|	0.805534|	0.000000|	0.566392|	0.000000|	
3.144595|	0.843809|	0.000000|	0.700566|	0.000000|	3.104653|	0.838484|	0.000000|	0.572758|	0.000000|	
2.893873|	0.794724|	0.000000|	0.655182|	0.000000|	2.833006|	0.762695|	0.000000|	0.575750|	0.000000|	
