Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	
Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	
35.717307|	25.895361|	0.000000|	1.889876|	0.000000|	35.203825|	25.495766|	0.000000|	1.688135|	0.000000|	
21.588615|	11.791336|	0.000000|	1.862001|	0.000000|	21.950310|	12.255015|	0.000000|	1.687285|	0.000000|	
2.731022|	0.738912|	0.000000|	0.557359|	0.000000|	2.713364|	0.743779|	0.000000|	0.567253|	0.000000|	
2.771940|	0.743612|	0.000000|	0.552592|	0.000000|	2.777340|	0.772439|	0.000000|	0.571000|	0.000000|	
2.901306|	0.769181|	0.000000|	0.559980|	0.000000|	2.875674|	0.767057|	0.000000|	0.558384|	0.000000|	
2.901831|	0.731908|	0.000000|	0.541948|	0.000000|	2.891026|	0.748411|	0.000000|	0.562335|	0.000000|	
2.719505|	0.717989|	0.000000|	0.541495|	0.000000|	2.719351|	0.740506|	0.000000|	0.567287|	0.000000|	
2.962286|	0.778760|	0.000000|	0.532667|	0.000000|	2.949662|	0.791314|	0.000000|	0.580057|	0.000000|	
3.684836|	1.041288|	0.000000|	0.615965|	0.000000|	3.692289|	1.077425|	0.000000|	0.653244|	0.000000|	
2.756577|	0.737219|	0.000000|	0.547970|	0.000000|	2.734747|	0.737369|	0.000000|	0.570025|	0.000000|	
2.789613|	0.704477|	0.000000|	0.532331|	0.000000|	2.802012|	0.740687|	0.000000|	0.564358|	0.000000|	
2.973203|	0.824752|	0.000000|	0.553485|	0.000000|	2.937451|	0.815324|	0.000000|	0.589925|	0.000000|	
2.979201|	0.781313|	0.000000|	0.562921|	0.000000|	2.965127|	0.792267|	0.000000|	0.594943|	0.000000|	
2.584508|	0.679029|	0.000000|	0.551907|	0.000000|	2.583291|	0.699491|	0.000000|	0.562103|	0.000000|	
3.015289|	0.800397|	0.000000|	0.585881|	0.000000|	3.001748|	0.811350|	0.000000|	0.597976|	0.000000|	
2.425264|	0.630866|	0.000000|	0.581502|	0.000000|	2.417810|	0.643873|	0.000000|	0.525128|	0.000000|	
3.119503|	0.816335|	0.000000|	0.628507|	0.000000|	3.106111|	0.830639|	0.000000|	0.575718|	0.000000|	
2.876801|	0.726180|	0.000000|	0.682969|	0.000000|	2.883876|	0.756528|	0.000000|	0.576470|	0.000000|	
2.849643|	0.747405|	0.000000|	0.652468|	0.000000|	2.829107|	0.751439|	0.000000|	0.582558|	0.000000|	
2.904083|	0.776019|	0.000000|	0.626995|	0.000000|	2.904003|	0.799981|	0.000000|	0.599982|	0.000000|	
2.698304|	0.700607|	0.000000|	0.548712|	0.000000|	2.689331|	0.713159|	0.000000|	0.559818|	0.000000|	
2.864952|	0.758058|	0.000000|	0.641592|	0.000000|	2.863277|	0.780803|	0.000000|	0.573357|	0.000000|	
2.533669|	0.648515|	0.000000|	0.575185|	0.000000|	2.523852|	0.661907|	0.000000|	0.553427|	0.000000|	
2.872918|	0.759674|	0.000000|	0.574202|	0.000000|	2.870335|	0.779069|	0.000000|	0.579377|	0.000000|	
3.068778|	0.839159|	0.000000|	0.564234|	0.000000|	3.333587|	1.045619|	0.000000|	0.597170|	0.000000|	
2.703097|	0.707192|	0.000000|	0.550325|	0.000000|	2.703706|	0.727814|	0.000000|	0.554209|	0.000000|	
2.816782|	0.735385|	0.000000|	0.554564|	0.000000|	2.865622|	0.804531|	0.000000|	0.580958|	0.000000|	
2.871422|	0.750207|	0.000000|	0.569763|	0.000000|	2.843882|	0.745107|	0.000000|	0.567635|	0.000000|	
3.583005|	1.028519|	0.000000|	0.648304|	0.000000|	3.576698|	1.051419|	0.000000|	0.646399|	0.000000|	
2.730863|	0.719266|	0.000000|	0.559438|	0.000000|	2.728499|	0.741937|	0.000000|	0.566667|	0.000000|	
2.953223|	0.755328|	0.000000|	0.566288|	0.000000|	2.943027|	0.773890|	0.000000|	0.568492|	0.000000|	
2.763028|	0.739650|	0.000000|	0.589409|	0.000000|	2.769494|	0.769704|	0.000000|	0.566739|	0.000000|	
3.798409|	1.074559|	0.000000|	0.638877|	0.000000|	3.784110|	1.094333|	0.000000|	0.655844|	0.000000|	
2.820083|	0.727934|	0.000000|	0.562632|	0.000000|	2.835907|	0.767496|	0.000000|	0.576856|	0.000000|	
2.884761|	0.766343|	0.000000|	0.572431|	0.000000|	2.857145|	0.765804|	0.000000|	0.585140|	0.000000|	
2.824589|	0.736743|	0.000000|	0.568857|	0.000000|	2.822760|	0.760255|	0.000000|	0.565661|	0.000000|	
2.571700|	0.674076|	0.000000|	0.584623|	0.000000|	2.561964|	0.687381|	0.000000|	0.557394|	0.000000|	
3.141673|	0.819306|	0.000000|	0.622736|	0.000000|	3.132240|	0.837264|	0.000000|	0.587207|	0.000000|	
2.927633|	0.749922|	0.000000|	0.651179|	0.000000|	2.938362|	0.787419|	0.000000|	0.560120|	0.000000|	
2.765679|	0.739135|	0.000000|	0.561049|	0.000000|	2.743622|	0.742031|	0.000000|	0.585924|	0.000000|	
2.885641|	0.767138|	0.000000|	0.581490|	0.000000|	2.898107|	0.803794|	0.000000|	0.585751|	0.000000|	
2.819140|	0.733560|	0.000000|	0.535319|	0.000000|	2.789550|	0.730743|	0.000000|	0.542468|	0.000000|	
2.810038|	0.724742|	0.000000|	0.538285|	0.000000|	2.810950|	0.747946|	0.000000|	0.574347|	0.000000|	
2.864382|	0.757490|	0.000000|	0.563464|	0.000000|	2.865374|	0.782360|	0.000000|	0.576086|	0.000000|	
2.891665|	0.763845|	0.000000|	0.526649|	0.000000|	2.892273|	0.786820|	0.000000|	0.579213|	0.000000|	
2.799829|	0.723765|	0.000000|	0.546817|	0.000000|	2.789937|	0.737690|	0.000000|	0.560438|	0.000000|	
2.837972|	0.742320|	0.000000|	0.538293|	0.000000|	2.824735|	0.751674|	0.000000|	0.566587|	0.000000|	
2.842004|	0.741788|	0.000000|	0.573588|	0.000000|	2.951930|	0.791461|	0.000000|	0.560809|	0.000000|	
3.548427|	1.021299|	0.000000|	0.630206|	0.000000|	3.531390|	1.032333|	0.000000|	0.652344|	0.000000|	
2.725412|	0.719050|	0.000000|	0.540727|	0.000000|	2.725183|	0.743086|	0.000000|	0.563098|	0.000000|	
