Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	
Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	
33.333837|	22.592677|	0.000000|	6.627498|	0.000000|	29.989914|	20.149837|	0.000000|	1.716402|	0.000000|	
29.359909|	18.679848|	0.000000|	6.399246|	0.000000|	28.457133|	18.624798|	0.000000|	1.695371|	0.000000|	
35.932762|	25.289461|	0.000000|	6.797705|	0.000000|	37.218859|	27.371642|	0.000000|	1.679085|	0.000000|	
51.569450|	40.600343|	0.000000|	7.743871|	0.000000|	50.626679|	40.742012|	0.000000|	1.728593|	0.000000|	
51.524629|	40.538602|	0.000000|	7.589337|	0.000000|	50.287294|	40.438115|	0.000000|	1.715243|	0.000000|	
49.258596|	38.628516|	0.000000|	6.057184|	0.000000|	49.549641|	39.379187|	0.000000|	3.240215|	0.000000|	
51.092072|	40.385990|	0.000000|	6.453414|	0.000000|	51.183266|	40.971100|	0.000000|	3.422654|	0.000000|	
50.985906|	40.284152|	0.000000|	6.384467|	0.000000|	51.388535|	41.170173|	0.000000|	3.402947|	0.000000|	
51.146164|	40.434329|	0.000000|	6.447569|	0.000000|	51.408105|	41.183000|	0.000000|	3.444047|	0.000000|	
50.700304|	40.036545|	0.000000|	6.377652|	0.000000|	51.358080|	41.129211|	0.000000|	3.432686|	0.000000|	
51.203320|	40.478119|	0.000000|	6.322351|	0.000000|	51.404816|	41.174566|	0.000000|	3.405191|	0.000000|	
51.024693|	40.302694|	0.000000|	6.388718|	0.000000|	51.388706|	41.157081|	0.000000|	3.405057|	0.000000|	
51.128913|	40.404260|	0.000000|	6.353229|	0.000000|	51.253685|	41.061002|	0.000000|	3.350184|	0.000000|	
51.077786|	40.355458|	0.000000|	6.433458|	0.000000|	51.334493|	41.087371|	0.000000|	3.394114|	0.000000|	
50.917791|	40.197360|	0.000000|	6.438961|	0.000000|	51.174576|	40.936873|	0.000000|	3.375390|	0.000000|	
50.646894|	39.939832|	0.000000|	6.290880|	0.000000|	50.970078|	40.733217|	0.000000|	3.361510|	0.000000|	
50.984601|	40.256934|	0.000000|	6.448992|	0.000000|	51.145986|	40.889232|	0.000000|	3.412825|	0.000000|	
50.900893|	40.425919|	0.000000|	6.421501|	0.000000|	51.140898|	40.896644|	0.000000|	3.403029|	0.000000|	
50.978944|	40.043268|	0.000000|	6.367325|	0.000000|	50.864538|	40.660311|	0.000000|	3.409707|	0.000000|	
51.038948|	40.307789|	0.000000|	6.364765|	0.000000|	51.217369|	40.969191|	0.000000|	3.363665|	0.000000|	
51.115845|	40.388046|	0.000000|	6.381659|	0.000000|	51.189450|	40.935502|	0.000000|	3.422953|	0.000000|	
51.097257|	40.359801|	0.000000|	6.433315|	0.000000|	51.262053|	41.006319|	0.000000|	3.411245|	0.000000|	
51.173054|	40.433375|	0.000000|	6.393242|	0.000000|	51.122503|	40.866080|	0.000000|	3.400795|	0.000000|	
40.268184|	29.751835|	0.000000|	5.450396|	0.000000|	50.913797|	40.761713|	0.000000|	2.989817|	0.000000|	
40.156929|	29.511533|	0.000000|	6.782644|	0.000000|	44.032465|	33.749852|	0.000000|	3.650407|	0.000000|	
33.154657|	22.134388|	0.000000|	6.770881|	0.000000|	38.221988|	27.982970|	0.000000|	3.515633|	0.000000|	
23.962592|	13.995423|	0.000000|	2.099000|	0.000000|	30.684887|	20.883209|	0.000000|	1.507682|	0.000000|	
21.264060|	11.327702|	0.000000|	1.898953|	0.000000|	26.322581|	16.479716|	0.000000|	1.466189|	0.000000|	
