Package0(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	
Package1(W)|	Cores(W)|	GPU(W|,	DRAM(W)|	Psys(W)|	
16.847788|	6.974977|	0.000000|	1.945739|	0.000000|	32.862242|	22.789686|	0.000000|	4.070678|	0.000000|	
16.801461|	6.937718|	0.000000|	1.922286|	0.000000|	32.876609|	22.818354|	0.000000|	4.104878|	0.000000|	
16.768685|	6.908113|	0.000000|	1.957555|	0.000000|	32.845399|	22.784519|	0.000000|	4.066805|	0.000000|	
16.768266|	6.905408|	0.000000|	1.927759|	0.000000|	32.865003|	22.795451|	0.000000|	4.105050|	0.000000|	
16.792797|	6.931738|	0.000000|	1.956708|	0.000000|	32.895680|	22.829827|	0.000000|	4.057806|	0.000000|	
16.779225|	6.919961|	0.000000|	1.928982|	0.000000|	32.812934|	22.743560|	0.000000|	4.075982|	0.000000|	
16.793048|	6.930129|	0.000000|	1.938537|	0.000000|	32.872046|	22.805967|	0.000000|	4.029428|	0.000000|	
16.790558|	6.925820|	0.000000|	1.930119|	0.000000|	32.848308|	22.782888|	0.000000|	4.046082|	0.000000|	
16.789067|	6.920630|	0.000000|	1.932895|	0.000000|	32.791076|	22.723403|	0.000000|	4.114096|	0.000000|	
16.784959|	6.920840|	0.000000|	1.907569|	0.000000|	32.811498|	22.741589|	0.000000|	4.071667|	0.000000|	
16.779943|	6.915418|	0.000000|	1.919971|	0.000000|	32.830566|	22.761394|	0.000000|	4.058279|	0.000000|	
16.801168|	6.937868|	0.000000|	1.997856|	0.000000|	32.894611|	22.826068|	0.000000|	4.041732|	0.000000|	
16.764357|	6.899771|	0.000000|	1.945636|	0.000000|	32.813688|	22.736236|	0.000000|	4.106571|	0.000000|	
16.871205|	6.959345|	0.000000|	1.985883|	0.000000|	32.690512|	22.618934|	0.000000|	4.097269|	0.000000|	
16.804809|	6.936249|	0.000000|	1.961265|	0.000000|	32.755578|	22.677654|	0.000000|	4.033374|	0.000000|	
16.799348|	6.930358|	0.000000|	1.952394|	0.000000|	32.761418|	22.681623|	0.000000|	4.095044|	0.000000|	
16.797639|	6.932516|	0.000000|	1.968642|	0.000000|	32.750743|	22.672526|	0.000000|	4.054899|	0.000000|	
16.777735|	6.915305|	0.000000|	1.938604|	0.000000|	32.703061|	22.624509|	0.000000|	3.987286|	0.000000|	
16.769059|	6.901703|	0.000000|	1.970988|	0.000000|	32.799514|	22.722345|	0.000000|	4.109495|	0.000000|	
16.785792|	6.917298|	0.000000|	1.946648|	0.000000|	32.825456|	22.742891|	0.000000|	4.087433|	0.000000|	
16.777405|	6.910210|	0.000000|	1.969695|	0.000000|	32.736485|	22.652257|	0.000000|	4.017063|	0.000000|	
16.777231|	6.916404|	0.000000|	1.942059|	0.000000|	32.757125|	22.673770|	0.000000|	4.115835|	0.000000|	
16.757930|	6.903607|	0.000000|	1.958296|	0.000000|	32.574626|	22.537340|	0.000000|	4.102755|	0.000000|	
16.749739|	6.890201|	0.000000|	1.996949|	0.000000|	32.870351|	22.738466|	0.000000|	3.999456|	0.000000|	
16.780930|	6.912418|	0.000000|	1.966829|	0.000000|	32.761864|	22.680266|	0.000000|	4.095080|	0.000000|	
16.770315|	6.899666|	0.000000|	2.003142|	0.000000|	32.708736|	22.628732|	0.000000|	4.059923|	0.000000|	
16.792104|	6.921752|	0.000000|	2.029823|	0.000000|	32.760376|	22.675937|	0.000000|	4.080711|	0.000000|	
16.783522|	6.919098|	0.000000|	1.961289|	0.000000|	32.710413|	22.630196|	0.000000|	4.097458|	0.000000|	
16.773621|	6.903790|	0.000000|	2.000290|	0.000000|	32.718576|	22.631780|	0.000000|	3.987262|	0.000000|	
16.777769|	6.909478|	0.000000|	1.992113|	0.000000|	32.764654|	22.675825|	0.000000|	4.077573|	0.000000|	
16.759291|	6.891248|	0.000000|	2.004083|	0.000000|	32.735679|	22.648605|	0.000000|	4.079072|	0.000000|	
16.787517|	6.921673|	0.000000|	1.956616|	0.000000|	32.792430|	22.706353|	0.000000|	4.096114|	0.000000|	
16.777276|	6.909877|	0.000000|	1.989410|	0.000000|	32.726259|	22.635579|	0.000000|	4.087383|	0.000000|	
16.757582|	6.892672|	0.000000|	1.944392|	0.000000|	32.739733|	22.648878|	0.000000|	4.044663|	0.000000|	
16.764294|	6.911836|	0.000000|	1.976366|	0.000000|	32.747876|	22.656957|	0.000000|	4.092686|	0.000000|	
16.744394|	6.886740|	0.000000|	1.950534|	0.000000|	32.757337|	22.666973|	0.000000|	4.118639|	0.000000|	
16.841296|	6.930128|	0.000000|	1.940468|	0.000000|	32.756214|	22.669770|	0.000000|	4.043354|	0.000000|	
16.774648|	6.914275|	0.000000|	1.917179|	0.000000|	32.585040|	22.548249|	0.000000|	4.005756|	0.000000|	
16.757093|	6.901849|	0.000000|	1.958053|	0.000000|	32.889848|	22.753663|	0.000000|	4.081271|	0.000000|	
16.754252|	6.904344|	0.000000|	1.936457|	0.000000|	32.744072|	22.659452|	0.000000|	3.970718|	0.000000|	
16.733465|	6.876164|	0.000000|	1.962880|	0.000000|	32.704508|	22.617387|	0.000000|	4.100425|	0.000000|	
16.762813|	6.898697|	0.000000|	1.971012|	0.000000|	32.756760|	22.664442|	0.000000|	3.987898|	0.000000|	
16.745037|	6.886271|	0.000000|	1.933003|	0.000000|	32.726118|	22.637231|	0.000000|	4.063947|	0.000000|	
16.760568|	6.900316|	0.000000|	1.954904|	0.000000|	32.707594|	22.619725|	0.000000|	4.030078|	0.000000|	
16.757886|	6.899592|	0.000000|	1.959988|	0.000000|	32.760120|	22.673528|	0.000000|	4.101796|	0.000000|	
16.736202|	6.878447|	0.000000|	1.967826|	0.000000|	32.717366|	22.627199|	0.000000|	4.091984|	0.000000|	
16.756006|	6.900700|	0.000000|	1.979549|	0.000000|	32.733989|	22.644904|	0.000000|	4.052445|	0.000000|	
16.750313|	6.891704|	0.000000|	1.938556|	0.000000|	32.711832|	22.620748|	0.000000|	4.059759|	0.000000|	
16.762141|	6.905984|	0.000000|	1.995967|	0.000000|	32.718318|	22.624615|	0.000000|	4.112040|	0.000000|	
16.778123|	6.913289|	0.000000|	1.979463|	0.000000|	32.602416|	22.562916|	0.000000|	4.059496|	0.000000|	
16.745401|	6.884843|	0.000000|	1.975640|	0.000000|	32.895977|	22.753724|	0.000000|	4.058320|	0.000000|	
16.781200|	6.916766|	0.000000|	1.960547|	0.000000|	32.785014|	22.695552|	0.000000|	4.077423|	0.000000|	
16.773502|	6.909335|	0.000000|	1.953664|	0.000000|	32.729772|	22.639595|	0.000000|	4.081837|	0.000000|	
16.875994|	6.965181|	0.000000|	1.961170|	0.000000|	32.734280|	22.641041|	0.000000|	4.040702|	0.000000|	
16.792178|	6.937956|	0.000000|	1.968087|	0.000000|	32.748389|	22.658718|	0.000000|	4.100805|	0.000000|	
16.778243|	6.921310|	0.000000|	1.974706|	0.000000|	32.732114|	22.640664|	0.000000|	4.080244|	0.000000|	
16.771672|	6.905763|	0.000000|	1.926899|	0.000000|	32.746238|	22.658567|	0.000000|	4.079055|	0.000000|	
16.761316|	6.903387|	0.000000|	1.950039|	0.000000|	32.727185|	22.637989|	0.000000|	4.020205|	0.000000|	
16.734561|	6.881141|	0.000000|	1.907905|	0.000000|	32.713763|	22.623515|	0.000000|	4.061463|	0.000000|	
16.756655|	6.906840|	0.000000|	1.953638|	0.000000|	32.601412|	22.557317|	0.000000|	4.072810|	0.000000|	
16.720411|	6.869457|	0.000000|	1.943444|	0.000000|	32.888817|	22.746258|	0.000000|	4.143946|	0.000000|	
16.731949|	6.879238|	0.000000|	1.997805|	0.000000|	32.778764|	22.690373|	0.000000|	4.058453|	0.000000|	
16.741139|	6.886138|	0.000000|	1.935175|	0.000000|	32.734363|	22.645621|	0.000000|	4.102035|	0.000000|	
16.734119|	6.880240|	0.000000|	1.911346|	0.000000|	32.743255|	22.649365|	0.000000|	4.081954|	0.000000|	
16.757118|	6.902227|	0.000000|	1.926129|	0.000000|	32.777385|	22.677907|	0.000000|	4.081688|	0.000000|	
16.787112|	6.938737|	0.000000|	1.966630|	0.000000|	32.744409|	22.643116|	0.000000|	4.102209|	0.000000|	
16.748453|	6.896783|	0.000000|	1.944614|	0.000000|	32.644455|	22.589068|	0.000000|	4.102605|	0.000000|	
16.719810|	6.864654|	0.000000|	1.975534|	0.000000|	32.926739|	22.776421|	0.000000|	4.040683|	0.000000|	
